               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   6,            0.043144,            0.033409,           0.0089775,             0.79455,                0.75,              0.8575,              0.3663,             0.03379,            0.022653,            0.020898,              0.0946,              0.0006,              0.0006
                   7,            0.041548,            0.037059,            0.017534,             0.81651,                0.75,             0.87833,              0.3651,            0.034253,            0.022602,            0.019699,              0.0937,              0.0007,              0.0007
                   8,             0.04107,            0.037643,           0.0051203,             0.85731,                0.75,             0.87833,             0.34001,            0.034837,             0.02249,            0.019095,              0.0928,              0.0008,              0.0008
                   9,            0.070218,            0.028224,            0.017922,             0.88968,                0.75,             0.87833,             0.34001,            0.034912,            0.022495,            0.018608,              0.0919,              0.0009,              0.0009
                  10,            0.039825,            0.034923,             0.01579,             0.90852,                0.75,             0.87833,             0.31997,            0.035434,            0.022456,            0.018168,               0.091,               0.001,               0.001
                  11,            0.043682,            0.036998,            0.017588,             0.92466,                0.75,             0.89083,             0.32807,            0.036098,            0.022483,            0.017679,              0.0901,              0.0011,              0.0011
                  12,            0.044583,            0.038811,            0.014753,             0.93504,                0.75,             0.89083,             0.31317,            0.036833,             0.02241,            0.017158,              0.0892,              0.0012,              0.0012
                   0,            0.046713,             0.03727,            0.015846,             0.60154,                0.75,             0.63559,             0.28835,            0.035139,             0.02163,           0.0040237,                 0.1,                   0,                   0
                   1,            0.040524,            0.031926,            0.020366,             0.61574,                0.75,             0.63559,             0.28835,            0.034828,            0.021296,           0.0033175,             0.09908,            8.02e-05,            8.02e-05
                   2,            0.046146,            0.020923,            0.011916,             0.62326,                0.75,             0.63559,             0.28158,            0.034483,            0.021061,           0.0029205,            0.098121,           0.0001208,           0.0001208
                   3,            0.043476,            0.035505,             0.02933,             0.65418,             0.74805,             0.63559,             0.28158,            0.034286,            0.020817,            0.002391,            0.097122,           0.0001218,           0.0001218
                   4,            0.044303,            0.048285,             0.01399,             0.67118,                0.75,             0.63559,              0.2746,            0.034238,            0.020698,           0.0020823,            0.096083,            8.32e-05,            8.32e-05
                   0,            0.046713,             0.03727,            0.015846,             0.60154,                0.75,             0.63559,             0.28835,            0.035139,             0.02163,           0.0040237,                 0.1,                   0,                   0
                   1,            0.040524,            0.031926,            0.020366,             0.61574,                0.75,             0.63559,             0.28835,            0.034829,            0.021298,           0.0033199,            0.099067,             6.7e-05,             6.7e-05
                   2,            0.046149,            0.020926,            0.011917,               0.623,                0.75,             0.63559,             0.28158,            0.034484,            0.021061,            0.002938,            0.098068,             6.8e-05,             6.8e-05
                   0,            0.048799,            0.039677,            0.029507,             0.73526,                0.75,             0.69658,             0.31958,            0.033765,             0.02137,          0.00025642,                 0.1,                   0,                   0
                   1,            0.079652,            0.037355,            0.043241,             0.73523,                0.75,             0.75846,             0.37598,            0.033322,            0.021189,          0.00023772,             0.09908,            8.02e-05,            8.02e-05
                   2,            0.049459,             0.03014,             0.03136,             0.73537,                0.75,             0.75846,             0.37598,            0.032951,            0.021044,           0.0002245,            0.098121,           0.0001208,           0.0001208
                   3,            0.073571,            0.045291,            0.037889,             0.73532,                0.75,             0.69658,             0.34504,             0.03249,            0.020832,          0.00021405,            0.097122,           0.0001218,           0.0001218
                   4,            0.043337,            0.049153,            0.028564,             0.73544,                0.75,             0.69658,             0.34504,            0.032156,            0.020624,          0.00020609,            0.096083,            8.32e-05,            8.32e-05
                   0,            0.043459,            0.037203,             0.01408,              0.7045,               0.625,             0.63983,              0.2649,            0.038604,            0.032266,          0.00030372,                 0.1,                   0,                   0
                   1,            0.041755,            0.033034,            0.032519,             0.70162,               0.625,             0.63983,              0.2649,             0.03801,            0.032263,           0.0002827,            0.099097,            9.67e-05,            9.67e-05
                   2,            0.041121,            0.026247,            0.035361,             0.69762,               0.625,             0.63983,             0.27791,            0.037746,            0.032302,          0.00026763,            0.098187,           0.0001868,           0.0001868
                   3,            0.039933,            0.034814,            0.032116,             0.69421,               0.625,             0.57796,             0.23389,            0.037699,            0.032292,          0.00025954,             0.09727,           0.0002703,           0.0002703
                   4,            0.045216,            0.040109,            0.035681,             0.68914,               0.625,             0.57796,               0.227,             0.03786,            0.032288,          0.00025233,            0.096347,           0.0003472,           0.0003472
                   5,            0.045669,            0.039989,            0.031561,             0.68652,               0.625,             0.57796,             0.23311,            0.038252,            0.032313,          0.00024819,            0.095418,           0.0004175,           0.0004175
                   6,            0.044791,             0.04212,            0.028373,              0.6819,               0.625,             0.57796,             0.23311,            0.038607,             0.03238,          0.00024531,            0.094481,           0.0004812,           0.0004812
